# Sources: GeoNames cities15000 + admin1CodesASCII + countryInfo (CC BY 4.0, geonames.org);
# Natural Earth 110m admin_0 countries (public domain, naturalearthdata.com).
# Regenerate: luna/scripts/gen_place_data.py
34.66667	61.06667	18086	Eslam Qaleh		Herat	Afghanistan
35.01361	69.17139	53676	Charikar		Parwan	Afghanistan
33.96744	68.9492	22305	Baraki Barak		Logar	Afghanistan
34.82156	67.82734	61863	Bāmyān	Bamyan	Bamyan	Afghanistan
36.75635	66.8972	114883	Balkh		Balkh	Afghanistan
37.00254	70.90664	32551	Bahārak	Baharak	Badakhshan	Afghanistan
34.96694	69.265	113173	Bagrām	Bagram	Parwan	Afghanistan
36.13068	68.70829	108449	Baghlān	Baghlan	Baghlan	Afghanistan
37.08571	69.47958	18623	Ārt Khwājah	Art Khwajah	Takhar	Afghanistan
35.03333	71.35809	15708	Āsmār	Asmar	Kunar	Afghanistan
34.87311	71.14697	48400	Asadābād	Asadabad	Kunar	Afghanistan
36.95293	65.12376	37900	Andkhoy		Faryab	Afghanistan
35.31292	69.51519	65000	Bāzārak	Bazarak	Panjshir	Afghanistan
34.12583	70.70778	15098	Markaz-e Woluswalī-ye Āchīn	Markaz-e Woluswali-ye Achin	Nangarhar	Afghanistan
17.12096	-61.84329	51737	Saint John’s	Saint John's	Saint John Parish	Antigua and Barbuda
18.21704	-63.05783	2035	The Valley		The Valley	Anguilla
39.87534	20.00477	22613	Sarandë	Sarande	Vlorë County	Albania
40.9025	20.6525	46070	Pogradec		Korçë County	Albania
41.17944	20.315	23312	Librazhd		Elbasan County	Albania
42.07694	20.42194	36125	Kukës	Kukes	Kukës County	Albania
40.61861	20.78083	58259	Korçë	Korce	Korçë County	Albania
40.07583	20.13889	23437	Gjirokastër	Gjirokaster	Gjirokastër County	Albania
41.11138	20.08224	100903	Elbasan		Elbasan County	Albania
41.49167	20.22194	26826	Bulqizë	Bulqize	Dibër County	Albania
40.4696	19.48379	115261	Vlorë	Vlore	Vlorë County	Albania
41.32744	19.81866	418495	Tirana		Tirana	Albania
42.06828	19.51258	95553	Shkodër	Shkoder	Shkodër County	Albania
41.32278	19.51028	20099	Rrashbull		Durrës County	Albania
41.04611	19.75111	16580	Peqin		Elbasan County	Albania
40.64278	19.65083	22679	Patos Fshat		Fier County	Albania
40.68333	19.61944	16000	Patos		Fier County	Albania
40.94194	19.705	63135	Lushnjë	Lushnje	Fier County	Albania
41.78361	19.64361	18695	Lezhë	Lezhe	Lezhë County	Albania
40.80028	19.91667	31077	Kuçovë	Kucove	Berat County	Albania
41.50917	19.79278	51191	Krujë	Kruje	Durrës County	Albania
41.18556	19.55694	30012	Kavajë	Kavaje	Tirana	Albania
41.47833	19.71778	17877	Fushë-Krujë	Fushe-Kruje	Durrës County	Albania
40.7251	19.55823	56297	Fier		Fier County	Albania
41.32355	19.45469	195920	Durrës	Durres	Durrës County	Albania
40.70583	19.95222	62232	Berat		Berat County	Albania
39.20762	46.40678	32900	Kapan		Syunik	Armenia
39.51111	46.34168	17592	Goris		Syunik	Armenia
39.95484	44.54874	22800	Artashat		Ararat	Armenia
39.85494	44.6947	17598	Ararat		Ararat	Armenia
40.17765	44.5126	1144700	Yerevan		Yerevan	Armenia
40.16557	44.29462	47989	Vagharshapat		Armavir	Armenia
40.548	44.95314	19652	Sevan		Gegharkunik	Armenia
40.06595	44.43669	23136	Masis		Ararat	Armenia
40.8074	44.49704	78100	Vanadzor		Lori	Armenia
40.35398	45.12386	18900	Gavar		Gegharkunik	Armenia
40.88037	45.14776	19500	Ijevan		Tavush	Armenia
40.5169	44.75591	49500	Hrazdan		Kotayk	Armenia
40.15553	44.0388	29700	Armavir		Armavir	Armenia
40.79305	43.84635	114667	Gyumri		Shirak	Armenia
40.74037	44.86344	15914	Dilijan		Tavush	Armenia
40.40289	44.64447	22071	Charentsavan		Kotayk	Armenia
40.2976	44.36152	17600	Ashtarak		Aragatsotn	Armenia
40.61918	43.97207	18145	Artik		Shirak	Armenia
40.2717	44.63342	50556	Abovyan		Kotayk	Armenia
-9.66078	20.39155	393000	Saurimo		Lunda Sul	Angola
-8.41915	20.74466	110000	Lucapa		Luanda Norte	Angola
-7.36643	20.81557	177604	Dundo		Luanda Norte	Angola
-7.3	20.73333	246880	Chitato		Luanda Norte	Angola
-7.48367	21.30339	20000	Cassanguidi		Luanda Norte	Angola
-10.70727	22.22466	55432	Luau		Moxico	Angola
-11.89914	22.90216	34000	Cazombo		Moxico	Angola
-8.38549	15.30126	60000	Nzagi		Cuanza Norte	Angola
-8.90553	13.37499	865863	Viana		Luanda	Angola
-7.60874	15.06131	322531	Uíge	Uige	Uíge	Angola
-8.65157	14.15653	41654	Úcua	Ucua	Bengo	Angola
-6.80517	13.33017	20358	Tombôco	Tomboco	Zaire	Angola
-6.1349	12.36894	221555	Soyo		Zaire	Angola
-7.35207	14.84629	31382	Songo		Uíge	Angola
-7.31473	16.0024	23000	Sanza Pombo		Uíge	Angola
-8.53412	14.43555	26265	Piri		Bengo	Angola
-8.71311	14.46292	16080	Pango Aluquém	Pango Aluquem	Bengo	Angola
-7.228	12.86956	28840	N'zeto		Zaire	Angola
-7.75938	15.2722	92950	Negage		Uíge	Angola
-9.29782	14.91162	161584	N'dalatando		Cuanza Norte	Angola
-8.12307	14.28838	21052	Muxaluando		Bengo	Angola
-10.5143	16.0199	33558	Mussende		Kwanza Sul	Angola
-6.26667	14.23833	148000	Mbanza Kongo		Zaire	Angola
-6.05716	15.10971	42000	Maquela do Zombo		Uíge	Angola
-9.54015	16.34096	455000	Malanje		Malanje	Angola
-8.84693	13.23698	727681	Maianga		Luanda	Angola
-8.52432	13.68622	16981	Mabubas		Bengo	Angola
-9.27268	15.25206	19422	Lucala		Cuanza Norte	Angola
-9.15445	19.28136	26103	Lubalo		Luanda Norte	Angola
-8.83682	13.23432	2776168	Luanda		Luanda	Angola
-8.90769	17.05339	15965	Kunda dya Baze		Malanje	Angola
-8.94432	13.16431	191828	Benfica		Luanda	Angola
-8.12439	14.29081	19209	Gombe		Bengo	Angola
-9.13333	14.76667	19992	Golungo Alto		Cuanza Norte	Angola
-9.68456	14.42788	64643	Dondo		Cuanza Norte	Angola
-9.05	15.31667	64643	Dondo		Cuanza Norte	Angola
-6.12085	14.62086	41878	Cuímba	Cuimba	Zaire	Angola
-8.23619	19.52566	26577	Cuilo		Luanda Norte	Angola
-9.14583	18.04453	55000	Cuango-Luzamba		Luanda Norte	Angola
-8.73204	15.37124	34000	Cazombo		Cuanza Norte	Angola
-8.57848	13.66425	55000	Caxito		Bengo	Angola
-9.78333	16.43333	52220	Cangandala		Malanje	Angola
-8.16263	14.11663	20913	Canacassala		Bengo	Angola
-8.18812	15.37495	21767	Camabatela		Cuanza Norte	Angola
-9.14692	13.41936	652270	Calumbo		Bengo	Angola
-8.29968	14.34494	16093	Cage Mazumbo		Bengo	Angola
-9.42102	15.74668	39302	Cacuso		Malanje	Angola
-8.7798	13.37478	146867	Cacuaco		Luanda	Angola
-5.56198	12.19476	550000	Cabinda		Cabinda	Angola
-8.67417	14.797	30537	Bula Atumba		Bengo	Angola
-4.76667	12.55	40953	Buco Zau		Cabinda	Angola
-4.65	12.76667	24430	Belize		Cabinda	Angola
-8.47175	13.37011	75000	Barra do Dande		Bengo	Angola
-9.57499	15.99442	70481	Bailundo		Malanje	Angola
-8.5675	13.47639	66202	Gama		Bengo	Angola
-8.83796	13.28399	394170	Cazenga		Luanda	Angola
-8.86639	13.26173	655796	Golfe		Luanda	Angola
-8.93611	13.26518	667094	Camama		Luanda	Angola
-8.91783	13.18562	500000	Talatona		Luanda	Angola
-16.7444	14.97494	35000	Xangongo		Cunene	Angola
-12.23333	15.55	36661	Alto Hama		Huambo	Angola
-15.727	12.94961	42607	Virei		Namibe	Angola
-12.96121	15.05958	21809	Ucuma		Huambo	Angola
-11.41237	14.30663	47421	Ucu Seles		Kwanza Sul	Angola
-15.80394	11.84485	46573	Tômbua	Tombua	Namibe	Angola
-11.20605	13.84371	205832	Sumbe		Kwanza Sul	Angola
-14.81909	14.53504	23014	Quipungo		Huíla	Angola
-10.73366	14.97995	27128	Quibala		Kwanza Sul	Angola
-10.73251	13.76844	91605	Porto Amboim		Kwanza Sul	Angola
-17.06667	15.73333	121537	Ondjiva		Cunene	Angola
-11.47512	16.96496	18000	Nharêa	Nharea	Bíe	Angola
-15.19611	12.15222	255000	Mossamedes		Namibe	Angola
-11.83268	16.23613	21662	Mungo		Huambo	Angola
-14.6585	17.69099	251178	Menongue		Cubango	Angola
-14.73272	15.03479	78000	Matala		Huíla	Angola
-10.73912	17.71766	69420	Luquembo		Malanje	Angola
-11.78333	19.91667	273675	Luena		Moxico	Angola
-14.91717	13.4925	600751	Lubango		Huíla	Angola
-12.90795	15.24845	92103	Longonjo		Huambo	Angola
-12.23712	15.31697	17000	Londuimbali		Huambo	Angola
-12.3644	13.53601	393079	Lobito		Benguela	Angola
